2022-03-19 01:13:39,650; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx already exists.
2022-03-19 01:23:39,661; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx already exists.
2022-03-19 01:33:39,673; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx already exists.
2022-03-19 01:43:39,683; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx already exists.
2022-03-19 01:53:39,693; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx already exists.
2022-03-19 02:03:39,703; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx does not exist. Starting report build.
2022-03-19 02:03:54,922; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:03:59,745; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:03:59,746; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:03:59,915; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:03:59,916; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,093; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,094; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,374; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,375; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,589; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,590; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,824; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:00,825; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,098; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,098; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,375; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,385; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,634; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,635; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
