2022-03-11 00:47:36,974; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:47:38,988; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:47:40,828; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:47:41,003; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:47:43,015; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:47:45,027; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:48:33,930; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:48:34,162; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:34,954; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:35,125; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:35,366; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:35,934; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:37,778; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:38,011; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:38,494; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:38,836; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:48:39,164; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:39,956; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:40,127; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:40,368; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:40,935; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:42,779; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:43,013; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:43,496; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:43,844; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:48:44,166; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:44,959; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:45,129; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:45,370; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
