2022-03-16 01:09:48,642; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,910; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,912; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:49,180; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:49,185; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx.
2022-03-16 01:09:49,302; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx.
2022-03-16 01:19:49,311; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx already exists.
2022-03-16 01:27:55,009; INFO; 10.19.1.101: Input status: 0001
2022-03-16 01:27:55,010; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-03-16 01:27:55,017; INFO; Request number 17624952. Response: BOTÃO.
2022-03-16 01:27:55,030; INFO; Registered access.
2022-03-16 01:27:55,031; INFO; Getting person and access info for access_request_number: 17624952
2022-03-16 01:27:55,248; INFO; 10.19.1.101: Input status: 0000
2022-03-16 01:27:55,266; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 17624952. Access was probably via button.
2022-03-16 01:27:59,895; INFO; 10.19.1.101: Input status: 0010
2022-03-16 01:27:59,896; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-16 01:27:59,903; INFO; Request number 17624965. Response: BOTÃO.
2022-03-16 01:27:59,916; INFO; Registered access.
2022-03-16 01:27:59,917; INFO; Getting person and access info for access_request_number: 17624965
2022-03-16 01:28:00,045; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 17624965. Access was probably via button.
2022-03-16 01:28:00,324; INFO; 10.19.1.101: Input status: 0000
2022-03-16 01:29:49,320; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx already exists.
2022-03-16 01:39:49,331; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx already exists.
2022-03-16 01:49:49,342; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx already exists.
2022-03-16 01:59:49,680; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx already exists.
