2022-03-05 02:08:59,577; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:08:59,776; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:08:59,778; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,008; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,009; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,280; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,286; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,591; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,592; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,906; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:00,907; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:01,225; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:01,226; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:01,534; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:01,535; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:01,921; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:01,922; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:02,229; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:09:02,230; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx.
2022-03-05 02:09:02,309; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx.
2022-03-05 02:19:02,330; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx already exists.
2022-03-05 02:27:19,091; INFO; 10.19.1.101: Input status: 0010
2022-03-05 02:27:19,093; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-05 02:27:19,101; INFO; Request number 16890089. Response: BOTÃO.
2022-03-05 02:27:19,115; INFO; Registered access.
2022-03-05 02:27:19,116; INFO; Getting person and access info for access_request_number: 16890089
2022-03-05 02:27:19,274; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16890089. Access was probably via button.
2022-03-05 02:27:19,408; INFO; 10.19.1.101: Input status: 0000
2022-03-05 02:29:02,342; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx already exists.
2022-03-05 02:30:43,946; INFO; Requesting access: Equipment: 133, identifier: 3C970460, request: 1. Try 1/2.
2022-03-05 02:30:44,021; INFO; Request number 16890090. Response: ENTRADA / SAÍDA.
2022-03-05 02:30:44,061; INFO; Registered access.
2022-03-05 02:30:44,062; INFO; Getting person and access info for access_request_number: 16890090
2022-03-05 02:30:44,220; INFO; Getting photo for person_number: 25568
2022-03-05 02:30:44,229; INFO; Sending data to dashboard.
2022-03-05 02:30:46,268; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16890090.
2022-03-05 02:39:02,354; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx already exists.
2022-03-05 02:49:02,366; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx already exists.
2022-03-05 02:59:02,375; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx already exists.
2022-03-05 03:09:02,384; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 02-00-00 - 2022-03-05 03-00-00.xlsx does not exist. Starting report build.
2022-03-05 03:09:25,841; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000688BD30FD0>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-05 03:09:35,846; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-05%2003:09:25 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000688BD30860>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
