2022-02-22 01:05:54,504; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:54,505; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:54,709; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:54,710; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:55,221; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:55,761; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:55,965; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:55,966; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,182; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,183; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,353; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,354; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,577; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,579; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,798; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:56,799; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:57,028; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
2022-02-22 01:05:57,032; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx.
2022-02-22 01:05:57,159; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx.
2022-02-22 01:15:57,169; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx already exists.
2022-02-22 01:25:57,179; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx already exists.
2022-02-22 01:35:57,189; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx already exists.
