2022-02-20 00:56:35,967; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-19 23-00-00 - 2022-02-20 00-00-00.xlsx already exists.
2022-02-20 01:06:35,976; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx does not exist. Starting report build.
2022-02-20 01:06:50,764; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,122; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,124; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,276; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,277; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,426; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,427; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,571; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,572; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,711; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,712; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,851; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,852; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:51,999; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,000; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,148; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,149; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,646; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,646; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,867; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-20 00:00:00, to: 2022-02-20 01:00:00
2022-02-20 01:06:52,869; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx.
2022-02-20 01:06:52,989; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx.
2022-02-20 01:16:52,999; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx already exists.
2022-02-20 01:26:53,010; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx already exists.
2022-02-20 01:36:53,019; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx already exists.
2022-02-20 01:46:53,029; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx already exists.
2022-02-20 01:56:53,039; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 00-00-00 - 2022-02-20 01-00-00.xlsx already exists.
2022-02-20 02:06:53,048; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx does not exist. Starting report build.
2022-02-20 02:07:07,378; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,524; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,525; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,666; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,667; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,809; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,810; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,973; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:07,974; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,132; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,134; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,283; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,284; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,427; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,428; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,574; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,575; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,731; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,732; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,872; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-20 01:00:00, to: 2022-02-20 02:00:00
2022-02-20 02:07:08,874; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx.
2022-02-20 02:07:08,942; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx.
2022-02-20 02:17:08,951; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx already exists.
2022-02-20 02:20:24,401; INFO; 10.19.1.101: Input status: 0010
2022-02-20 02:20:24,403; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-02-20 02:20:24,410; INFO; Request number 16823777. Response: BOTÃO.
2022-02-20 02:20:24,422; INFO; Registered access.
2022-02-20 02:20:24,423; INFO; Getting person and access info for access_request_number: 16823777
2022-02-20 02:20:24,565; INFO; 10.19.1.101: Input status: 0000
2022-02-20 02:20:25,341; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16823777. Access was probably via button.
2022-02-20 02:26:25,736; INFO; Requesting access: Equipment: 133, identifier: A3CA9F51, request: 1. Try 1/2.
2022-02-20 02:26:25,883; INFO; Request number 16823778. Response: ENTRADA / SAÍDA.
2022-02-20 02:26:25,942; INFO; Registered access.
2022-02-20 02:26:25,943; INFO; Getting person and access info for access_request_number: 16823778
2022-02-20 02:26:26,145; INFO; Getting photo for person_number: 25571
2022-02-20 02:26:26,157; INFO; Sending data to dashboard.
2022-02-20 02:26:28,154; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823778.
2022-02-20 02:27:08,159; INFO; Requesting access: Equipment: 152, identifier: 5229A919, request: 1. Try 1/2.
2022-02-20 02:27:08,306; INFO; Request number 16823779. Response: ENTRADA / SAÍDA.
2022-02-20 02:27:08,310; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.212.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-02-20 02:27:08,384; INFO; Registered access.
2022-02-20 02:27:08,397; INFO; Getting person and access info for access_request_number: 16823779
2022-02-20 02:27:08,581; INFO; Getting photo for person_number: 25634
2022-02-20 02:27:08,591; INFO; Sending data to dashboard.
2022-02-20 02:27:08,960; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx already exists.
2022-02-20 02:27:10,621; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823779.
2022-02-20 02:27:51,830; INFO; Requesting access: Equipment: 152, identifier: 5229A919, request: 2. Try 1/2.
2022-02-20 02:27:52,015; INFO; Request number 16823780. Response: ENTRADA / SAÍDA.
2022-02-20 02:27:52,019; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.212.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-02-20 02:27:52,100; INFO; Registered access.
2022-02-20 02:27:52,101; INFO; Getting person and access info for access_request_number: 16823780
2022-02-20 02:27:52,281; INFO; Getting photo for person_number: 25634
2022-02-20 02:27:52,289; INFO; Sending data to dashboard.
2022-02-20 02:27:54,293; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823780.
2022-02-20 02:35:37,190; INFO; 10.19.1.101: Input status: 0001
2022-02-20 02:35:37,201; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-02-20 02:35:37,214; INFO; Request number 16823784. Response: BOTÃO.
2022-02-20 02:35:37,227; INFO; Registered access.
2022-02-20 02:35:37,228; INFO; Getting person and access info for access_request_number: 16823784
2022-02-20 02:35:37,414; INFO; 10.19.1.101: Input status: 0000
2022-02-20 02:35:37,426; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16823784. Access was probably via button.
2022-02-20 02:35:47,647; INFO; 10.19.1.101: Input status: 0010
2022-02-20 02:35:47,651; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-02-20 02:35:47,679; INFO; Request number 16823785. Response: BOTÃO.
2022-02-20 02:35:47,695; INFO; Registered access.
2022-02-20 02:35:47,696; INFO; Getting person and access info for access_request_number: 16823785
2022-02-20 02:35:47,872; INFO; 10.19.1.101: Input status: 0000
2022-02-20 02:35:47,874; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16823785. Access was probably via button.
2022-02-20 02:37:08,977; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx already exists.
2022-02-20 02:37:41,033; INFO; Requesting access: Equipment: 133, identifier: 52132119, request: 1. Try 1/2.
2022-02-20 02:37:41,112; INFO; Request number 16823786. Response: ENTRADA / SAÍDA.
2022-02-20 02:37:41,152; INFO; Registered access.
2022-02-20 02:37:41,153; INFO; Getting person and access info for access_request_number: 16823786
2022-02-20 02:37:41,268; INFO; Getting photo for person_number: 25565
2022-02-20 02:37:41,275; INFO; Sending data to dashboard.
2022-02-20 02:37:43,274; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823786.
2022-02-20 02:47:08,987; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx already exists.
2022-02-20 02:57:08,997; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 01-00-00 - 2022-02-20 02-00-00.xlsx already exists.
2022-02-20 03:07:09,006; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-20 02-00-00 - 2022-02-20 03-00-00.xlsx does not exist. Starting report build.
2022-02-20 03:07:23,684; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:23,924; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:23,925; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
